TL912EE1221AGE;STL912EE1221AGE;1
STL912EE1221AGE;ITL912ECJCE2AG;1
ITL912ECJCE2AG;ITL912EDIF2ALB;1
ITL912ECJCE2AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE2AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE2AG;ITL912EDIVPRGAL;1
ITL912ECJCE2AG;ITL912EVDDF2BO;1
ITL912ECJCE2AG;ITL912ECOARE2AG;1
ITL912ECOARE2AG;MPBOCH1208AG0;1.1
ITL912ECJCE2AG;ITL912ECOBSE2AG;1
ITL912ECOBSE2AG;MPBOCH1205AG0;1.38
ITL912ECJCE2AG;ITEFRKFM4AG;1
STL912EE1221AGE;ITL912ECJP1221E;1
ITL912ECJP1221E;ITRE001229;1
ITL912ECJP1221E;ITIE902193;1
ITL912ECJP1221E;ITBAT40A36VTCJB;1
ITBAT40A36VTCJB;ITBAT45A12VPI;1
ITBAT40A36VTCJB;ITBATACPBPL;1
ITL912ECJP1221E;ITBOSD25;1
ITL912ECJP1221E;ITPOG13PT8;4
ITL912ECJP1221E;ITEFFIXCA2535;3
TL912EE1221AGE;MOD1603;1
TL912EE1222AGE;STL912EE1222AGE;1
STL912EE1222AGE;ITL912ECJCE2AG;1
ITL912ECJCE2AG;ITL912EDIF2ALB;1
ITL912ECJCE2AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE2AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE2AG;ITL912EDIVPRGAL;1
ITL912ECJCE2AG;ITL912EVDDF2BO;1
ITL912ECJCE2AG;ITL912ECOARE2AG;1
ITL912ECOARE2AG;MPBOCH1208AG0;1.1
ITL912ECJCE2AG;ITL912ECOBSE2AG;1
ITL912ECOBSE2AG;MPBOCH1205AG0;1.38
ITL912ECJCE2AG;ITEFRKFM4AG;1
STL912EE1222AGE;ITL912ECJP1222E;1
ITL912ECJP1222E;ITRE001229;1
ITL912ECJP1222E;ITIE902193;1
ITL912ECJP1222E;ITBAT40A36VTCJB;1
ITBAT40A36VTCJB;ITBAT45A12VPI;1
ITBAT40A36VTCJB;ITBATACPBPL;1
ITL912ECJP1222E;ITBOSD25;1
ITL912ECJP1222E;ITPOG13PT8;1
ITL912ECJP1222E;ITEFFIXCA2535;1
TL912EE1222AGE;MOD1603;1
TL912EE1229AGS;STL912EE1229AGS;1
STL912EE1229AGS;ITL912ECJCE2AG;1
ITL912ECJCE2AG;ITL912EDIF2ALB;1
ITL912ECJCE2AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE2AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE2AG;ITL912EDIVPRGAL;1
ITL912ECJCE2AG;ITL912EVDDF2BO;1
ITL912ECJCE2AG;ITL912ECOARE2AG;1
ITL912ECOARE2AG;MPBOCH1208AG0;1.1
ITL912ECJCE2AG;ITL912ECOBSE2AG;1
ITL912ECOBSE2AG;MPBOCH1205AG0;1.38
ITL912ECJCE2AG;ITEFRKFM4AG;1
STL912EE1229AGS;ITL912ECJP1229S;1
ITL912ECJP1229S;ITRE001229;1
ITL912ECJP1229S;ITIE902193;1
ITL912ECJP1229S;ITBOSD25;1
ITL912ECJP1229S;ITPOG13PT8;1
ITL912ECJP1229S;ITEFFIXCA2535;1
TL912EE1229AGS;MOD1603;1
TL912EE1241AGE;STL912EE1241AGE;1
STL912EE1241AGE;ITL912ECJCE4AG;1
ITL912ECJCE4AG;ITL912EDIF4ALB;1
ITL912ECJCE4AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE4AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE4AG;ITL912EDIVPRGAL;1
ITL912ECJCE4AG;ITL912EVDDF4BO;1
ITL912ECJCE4AG;ITL912ECOARE4AG;1
ITL912ECOARE4AG;MPBOCH1205AG0;1
ITL912ECOARE4AG;MPBOCH1208AG0;2.1
ITL912ECJCE4AG;ITL912ECOBSE4AG;1
ITL912ECOBSE4AG;MPBOCH1205AG0;2.40
ITL912ECJCE4AG;ITEFRKFM4AG;1
STL912EE1241AGE;ITL912ECJP1241E;1
ITL912ECJP1241E;ITRE001249;1
ITL912ECJP1241E;ITIE902193;1
ITL912ECJP1241E;ITBAT40A36VTCJB;1
ITBAT40A36VTCJB;ITBAT45A12VPI;1
ITBAT40A36VTCJB;ITBATACPBPL;1
ITL912ECJP1241E;ITBOSD25;1
ITL912ECJP1241E;ITPOG13PT8;1
ITL912ECJP1241E;ITEFFIXCA2535;4
TL912EE1241AGE;MOD1603;1
TL912EE1242AGE;STL912EE1242AGE;1
STL912EE1242AGE;ITL912ECJCE4AG;1
ITL912ECJCE4AG;ITL912EDIF4ALB;1
ITL912ECJCE4AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE4AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE4AG;ITL912EDIVPRGAL;1
ITL912ECJCE4AG;ITL912EVDDF4BO;1
ITL912ECJCE4AG;ITL912ECOARE4AG;1
ITL912ECOARE4AG;MPBOCH1205AG0;1
ITL912ECOARE4AG;MPBOCH1208AG0;2.1
ITL912ECJCE4AG;ITL912ECOBSE4AG;1
ITL912ECOBSE4AG;MPBOCH1205AG0;2.40
ITL912ECJCE4AG;ITEFRKFM4AG;1
STL912EE1242AGE;ITL912ECJP1242E;1
ITL912ECJP1242E;ITRE001249;1
ITL912ECJP1242E;ITIE902193;1
ITL912ECJP1242E;ITBAT40A36VTCJB;1
ITBAT40A36VTCJB;ITBAT45A12VPI;1
ITBAT40A36VTCJB;ITBATACPBPL;1
ITL912ECJP1242E;ITBOSD25;1
ITL912ECJP1242E;ITPOG13PT8;1
ITL912ECJP1242E;ITEFFIXCA2535;1
TL912EE1242AGE;MOD1603;1
TL912EE1249AGS;STL912EE1249AGS;1
STL912EE1249AGS;ITL912ECJCE4AG;1
ITL912ECJCE4AG;ITL912EDIF4ALB;1
ITL912ECJCE4AG;ITL912EDIVCHSAG;1
ITL912EDIVCHSAG;MPBOCH1208AG0;0.46
ITL912ECJCE4AG;ITL912EDIVPREAG;1
ITL912EDIVPREAG;MPBOCH1208AG0;1
ITL912ECJCE4AG;ITL912EDIVPRGAL;1
ITL912ECJCE4AG;ITL912EVDDF4BO;1
ITL912ECJCE4AG;ITL912ECOARE4AG;1
ITL912ECOARE4AG;MPBOCH1205AG0;1
ITL912ECOARE4AG;MPBOCH1208AG0;2.1
ITL912ECJCE4AG;ITL912ECOBSE4AG;1
ITL912ECOBSE4AG;MPBOCH1205AG0;2.40
ITL912ECJCE4AG;ITEFRKFM4AG;1
STL912EE1249AGS;ITL912ECJP1249S;1
ITL912ECJP1249S;ITRE001249;1
ITL912ECJP1249S;ITIE902193;1
ITL912ECJP1249S;ITBOSD25;1
ITL912ECJP1249S;ITPOG13PT8;1
ITL912ECJP1249S;ITEFFIXCA2535;1
TL912EE1249AGS;MOD1603;1
